"corpus","user/nelakrawiecova/2005_paroubek_2"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"reformulovaná Lisabonská strategie",324.810,4,0
"Lisabonská strategie",302.990,4,25
"sociální soudržnost",262.970,5,187
"hospodářská prosperita",261.100,4,84
"parlament české republiky",253.850,9,645
"strategie hospodářského růstu",243.850,3,0
"urychlení hospodářského růstu",243.850,3,0
"systém podpory",240.810,5,236
"organizace severoatlantické smlouvy",239.070,3,7
"schodek veřejných rozpočtů",234.480,3,14
"spolupráce vysokých škol",231.800,3,18
"střední podnikání",231.200,5,260
"následující opatření",229.400,3,22
"zajišťování obrany",228.760,3,23
"orgán evropské unie",221.410,4,161
"politika vlády",219.510,7,546
"financování vysokých škol",211.860,3,52
"organizace spojených národů",210.310,9,850
"strategie vlády",209.860,3,56
"podpora výzkumu",209.050,5,324
"zlepšování podmínek",205.260,3,65
"podpora rozvoje",203.900,5,341
"Poslanecká sněmovna parlamentu",199.950,7,633
"důstojné stáří",194.310,3,88
"harmonický rozvoj",192.010,3,93
"sněmovna parlamentu",190.620,7,681
"kompetentní orgán",190.360,3,97
"politika evropské unie",189.520,5,393
"prostředek evropské unie",186.580,3,106
"národní program",181.870,5,424
"spojený národ",176.240,10,1239
"investiční prostředí",173.070,3,141
"účinné opatření",170.530,3,148
"Severoatlantická smlouva",169.230,3,152
"fond evropské unie",167.880,5,488
"objektivní hodnocení výsledků",162.900,2,0
"kulturní infrastruktura",162.900,2,0
"koncepce proexportní politiky",162.900,2,0
"kritérion dalšího rozdělování",162.900,2,0
"rozhodující kritérion dalšího rozdělování",162.900,2,0
"orgán územních samosprávných celků",162.900,2,0
"perspektiva evropské unie",162.900,2,0
"finanční podpora výzkumu",162.900,2,0
"inovační politika",162.900,2,0
"státní informační politika",162.900,2,0
"prohlášení vlády jiřího",162.900,2,0
"reforma veřejných rozpočtů",162.900,2,0
"další rozdělování finanční podpory",162.900,2,0
"rozdělování finanční podpory",162.900,2,0
"rozvoj transatlantických vztahů",162.900,2,0
"nejširší politická shoda",162.900,2,0
"součást vzdělávacího systému",162.900,2,0
"výdajová strana veřejných rozpočtů",162.900,2,0
"hospodářská strategie vlády",162.900,2,0
"efektivní systém podpory",162.900,2,0
"uvolňování nájemného",162.900,2,0
"legislativní zpracování",162.900,2,0
"zpřehlednění právního řádu",162.900,2,0
"výrazné zvýšení investic",162.900,2,0
"úkol zahraniční politiky",162.900,2,0
"hodnocení výsledků výzkumu",160.650,2,5
"součást politiky vlády",160.650,2,5
"strana veřejných rozpočtů",160.180,2,6
"řešení palestinsko-izraelského konfliktu",160.180,2,6
"další urychlení",159.710,2,7
"rozvoj jednotlivých regionů",159.240,2,8
"hospodářský růst české republiky",159.240,2,8
"koncepce reformy",158.310,2,10
"zvýšení konkurenceschopnosti",158.040,3,187
"prvořadá pozornost",158.000,2,11
"přijatá koncepce",157.550,2,12
"zemědělská politika evropské unie",157.550,2,12
"další rozdělování",157.550,2,12
"základní strategický dokument",157.090,2,13
"trvalá pozornost",157.090,2,13
"úpadkové řízení",157.090,2,13
"zvýšení kvality",156.760,4,369
"úprava podpory",156.640,2,14
"řešení světových problémů",155.740,2,16
"rada bezpečnosti organizace",155.290,2,17
"znalostní společnost",155.290,2,17
"reforma veřejných financí",154.410,2,19
"palestinsko-izraelský konflikt",153.970,2,20
"efektivita správy",153.540,2,21
"podpora českých firem",153.540,2,21
"bezpečnost organizace",153.250,2,22
"koncepce rodinné politiky",152.390,2,24
"proces modernizace",151.960,2,25
"růst české republiky",151.540,2,26
"prorůstová politika",151.120,2,27
"právo evropské unie",150.990,3,212
"průmyslový výzkum",150.700,2,28
"informační politika",150.280,2,29
"využití možností",150.280,2,29
"účast české republiky",150.280,2,29
"odvětví cestovního ruchu",149.870,2,30
"národní program reforem",149.870,2,30
"národní kulturní poklad",149.450,2,31
"prohlubování evropské integrace",148.770,2,33
"Evropská bezpečnostní strategie",147.960,2,35
