"corpus","user/nelakrawiecova/1998_tosovsky"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"ekonomický rozměr života",816.330,2,0
"rozměr života",765.790,2,23
"budoucí členství",750.990,2,30
"ekonomický rozměr",726.270,2,43
"životní úroveň občanů",662.600,2,80
"úroveň občanů",648.910,2,89
"vyslovení důvěry",587.710,2,134
"programový cíl",532.160,2,184
"samostatná Česká republika",506.090,2,211
"bytová politika",492.060,2,227
"akreditace nemocnic",408.660,1,0
"investiční aktivita obcí",408.660,1,0
"privatizační aktivita",408.660,1,0
"vnější bezpečnost státu",408.660,1,0
"bruselská centrála severoatlantické aliance",408.660,1,0
"centrála severoatlantické aliance",408.660,1,0
"cenová deformace",408.660,1,0
"resortní poziční dokument",408.660,1,0
"dosažení výrazného postupu",408.660,1,0
"dotváření liberálního prostředí",408.660,1,0
"úspěšné dovršení",408.660,1,0
"důsledek úsporné politiky",408.660,1,0
"moderní tržní ekonomika",408.660,1,0
"etapa integračních snah",408.660,1,0
"forma deficitního hospodaření",408.660,1,0
"nová forma podpory",408.660,1,0
"skrytá forma deficitního hospodaření",408.660,1,0
"formulace programových cílů",408.660,1,0
"efektivnější fungování finančních trhů",408.660,1,0
"fungování obchodního rejstříku",408.660,1,0
"rychlejší fungování",408.660,1,0
"rychlejší fungování obchodního rejstříku",408.660,1,0
"mimoprodukční funkce zemědělství",408.660,1,0
"hledisko budoucího začlenění",408.660,1,0
"další národní kulturní instituce",408.660,1,0
"instituce kapitálového trhu",408.660,1,0
"nabídnuto jednání",408.660,1,0
"dlouhodobý zahraniční kapitál",408.660,1,0
"podobná přírodní katastrofa",408.660,1,0
"celkové podnikatelské klima",408.660,1,0
"trestněprávní kodex",408.660,1,0
"koncepce protidrogové politiky",408.660,1,0
"koncepce výstavby resortu",408.660,1,0
"přijatá koncepce bytové politiky",408.660,1,0
"variantní koncepce",408.660,1,0
"kontinuita nezbytných reformních kroků",408.660,1,0
"korupce veřejných činitelů",408.660,1,0
"důležitý transformační krok",408.660,1,0
"nezbytný reformní krok",408.660,1,0
"mandát české delegace",408.660,1,0
"rómská minorita",408.660,1,0
"exportní možnost české ekonomiky",408.660,1,0
"míra kontinuity",408.660,1,0
"stávající míra otevřenosti",408.660,1,0
"značná míra kontinuity",408.660,1,0
"neefektivnost práce",408.660,1,0
"neefektivnost práce institucí",408.660,1,0
"současná nerovnováha",408.660,1,0
"vnější ekonomická nerovnováha",408.660,1,0
"potřebná právní norma",408.660,1,0
"nositel spolehlivé informace",408.660,1,0
"náprava cenových deformací",408.660,1,0
"nárůst vnější nerovnováhy",408.660,1,0
"vysoký nárůst vnější nerovnováhy",408.660,1,0
"následek podobných přírodních katastrof",408.660,1,0
"tragický následek podobných přírodních katastrof",408.660,1,0
"nástroj zneužívání",408.660,1,0
"návrh nové formy",408.660,1,0
"oblast obchodního soudnictví",408.660,1,0
"obnova ekonomické rovnováhy",408.660,1,0
"postupná obnova ekonomické rovnováhy",408.660,1,0
"legislativní ochrana svobody",408.660,1,0
"účinnější ochrana sbírek",408.660,1,0
"odstranění současné nerovnováhy",408.660,1,0
"okruh zdravotní péče",408.660,1,0
"existující opatření",408.660,1,0
"další oslabení české koruny",408.660,1,0
"ozdravění krajiny",408.660,1,0
"očista právního řádu",408.660,1,0
"podceňování nutné regulace",408.660,1,0
"podmínka zrychlení",408.660,1,0
"základní podmínka zrychlení",408.660,1,0
"exportní podpora zemědělských produktů",408.660,1,0
"podpora investičních aktivit",408.660,1,0
"podpora mimoprodukčních funkcí",408.660,1,0
"podpora přímých zahraničních investic",408.660,1,0
"podpora většiny občanů",408.660,1,0
"podpora zemědělských produktů",408.660,1,0
"podpora úplné rodiny",408.660,1,0
"pokračování nápravy",408.660,1,0
"aktivní vládní politika",408.660,1,0
"politika vyrovnanosti",408.660,1,0
"politika vyrovnanosti soustavy",408.660,1,0
"připravená proexportní politika",408.660,1,0
"vládní politika vyrovnanosti",408.660,1,0
"vědní politika státu",408.660,1,0
"nejdůležitější posilování",408.660,1,0
"nejdůležitější posilování vlastní obranyschopnosti",408.660,1,0
"posilování vlastní obranyschopnosti",408.660,1,0
"monopolní postavení firem",408.660,1,0
