"corpus","user/nelakrawiecova/1990_calfa"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"životné prostredium",804.860,6,0
"Federálne zhromaždenia",670.880,5,0
"súkromný sektor",670.880,5,0
"tohto roku",670.880,5,0
"republiková vláda",661.620,5,5
"trhové hospodárstvo",536.900,4,0
"našej ekonomiky",536.900,4,0
"trhová ekonomika",402.930,3,0
"rozpočtové hospodárenium",402.930,3,0
"našej spoločnosti",402.930,3,0
"zahraničný obchod",402.930,3,0
"ochrana životného prostredia",402.930,3,0
"súkromný podnikanium",402.930,3,0
"právne poriadku",402.930,3,0
"ľudský právo",402.930,3,0
"politická strána",402.930,3,0
"tejto oblasti",402.930,3,0
"dôstojný život",402.930,3,0
"vážený poslanec",359.620,4,170
"zahraničná banka",268.950,2,0
"cestovné ruchu",268.950,2,0
"ekologické hľadisko",268.950,2,0
"zásadný krok",268.950,2,0
"majetek politických strán",268.950,2,0
"návrh zákonov",268.950,2,0
"náš štátu",268.950,2,0
"spoločenská organizácie",268.950,2,0
"republikový orgán",268.950,2,0
"orgánovo federácie",268.950,2,0
"podpora rozvoja",268.950,2,0
"národné porozumenium",268.950,2,0
"ťažký priemysl",268.950,2,0
"reformný proces",268.950,2,0
"integračný procesovo",268.950,2,0
"ekonomická prostredie",268.950,2,0
"náročná ekonomická prostredie",268.950,2,0
"konkurenčný prostredium",268.950,2,0
"rozvojum súkromného sektoru",268.950,2,0
"účastinný spoločnost",268.950,2,0
"tejto krajiny",268.950,2,0
"vláda národného porozumenia",268.950,2,0
"zastupiteľský zbor",268.950,2,0
"zákonodarný zbor",268.950,2,0
"systémová zmena",268.950,2,0
"členská štát",268.950,2,0
"samospráva obcí",249.490,2,27
"ochrana ústavy",179.780,2,171
"administratívne systému",134.980,1,0
"tlačová agentúra",134.980,1,0
"Ako prílohu",134.980,1,0
"nové zákonodarný aktovo",134.980,1,0
"zákonodarný aktovo",134.980,1,0
"aktuálnycha svetových cien",134.980,1,0
"aké miesta",134.980,1,0
"akýcha zdrojov",134.980,1,0
"aleba bývanie",134.980,1,0
"bezpečnostný aparát",134.980,1,0
"zakotvená autonómia",134.980,1,0
"štátna banka",134.980,1,0
"hnedouhoľný baně",134.980,1,0
"vybraná hnedouhoľný baně",134.980,1,0
"obchodná bilancia",134.980,1,0
"aktívnejší boj",134.980,1,0
"bol zabezpečení",134.980,1,0
"bol zrušené všetky",134.980,1,0
"ktorá bol",134.980,1,0
"budúce roka",134.980,1,0
"budúcicha volieb",134.980,1,0
"budúcom roku",134.980,1,0
"budúcom roku predložia",134.980,1,0
"burcujúcicha skutočností",134.980,1,0
"celkom mimoriadny",134.980,1,0
"celkom nové vzťahy",134.980,1,0
"celom území",134.980,1,0
"celom území štátu",134.980,1,0
"celá desaťročia",134.980,1,0
"cena určitého obmedzení",134.980,1,0
"prílišný centralizmus",134.980,1,0
"zahraničný cestovné",134.980,1,0
"zahraničný cestovné ruchu",134.980,1,0
"charakter nášho",134.980,1,0
"charakter nášho štátu",134.980,1,0
"charakter spoločenského systému",134.980,1,0
"charakteristika neštátnych",134.980,1,0
"programová charakteristika",134.980,1,0
"programová charakteristika neštátnych",134.980,1,0
"ľudský chovanium",134.980,1,0
"Blokové chápanium",134.980,1,0
"Blokové chápanium bezpečnosti",134.980,1,0
"chápanium bezpečnosti",134.980,1,0
"vznešený ciel",134.980,1,0
"stanovená ciele",134.980,1,0
"cien priamych",134.980,1,0
"maloobchodný ciena",134.980,1,0
"svetova ciena",134.980,1,0
"maloobchodný cieno",134.980,1,0
"vytýčené cieľum",134.980,1,0
"cyklus cestovného",134.980,1,0
"cyklus cestovného ruchu",134.980,1,0
"výrobný cyklus",134.980,1,0
