"corpus","user/nelakrawiecova/1981_strougal"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"federální vláda",816.440,21,559
"Československá socialistická republika",653.920,8,86
"socialistická společnost",605.740,7,62
"socialistická republika",587.610,10,254
"výrobní hospodářská jednotka",510.840,5,0
"socialistické společenství",499.350,5,8
"vědeckotechnický pokrok",494.040,5,12
"hospodářská jednotka",491.190,5,14
"soubor opatření",411.830,6,168
"rozvinutá socialistická společnost",408.870,4,0
"výrobní spotřeba",408.870,4,0
"vláda republik",408.870,4,0
"vláda československé socialistické republiky",408.870,4,0
"výstavba rozvinuté socialistické společnosti",408.870,4,0
"průmyslová aglomerace",384.640,4,22
"sjezd komunistické strany",363.760,4,43
"rada vzájemné hospodářské pomoci",358.030,4,49
"vzájemná hospodářská pomoc",355.230,4,52
"všestranný rozvoj",352.780,4,55
"národní výbor",325.260,10,736
"národní hospodářství",323.720,7,416
"národní důchod",312.120,4,107
"komunistická strana československa",311.680,5,220
"další pokrok",307.190,4,114
"investiční výstavba",307.190,4,114
"zemědělsko-potravinářský komplex",306.900,3,0
"odvětvové ministerstvo",306.900,3,0
"Československá zahraniční politika",306.900,3,0
"socialistická státnost",306.900,3,0
"socialistický způsob života",306.900,3,0
"účast pracujících",306.900,3,0
"socialistický způsob",302.670,3,5
"řídící práce",301.770,3,6
"nevýrobní sféra",300.880,3,7
"činnost vlády",299.980,4,125
"Vážená soudružka",299.130,3,9
"strana československa",294.090,5,254
"revoluční odborové hnutí",293.410,3,16
"cesta vývoje",290.080,3,20
"mezinárodní dělba práce",287.090,3,24
"mezinárodní dělba",286.290,3,25
"administrativní aparát",283.120,3,29
"hospodářská pomoc",276.450,4,165
"příští období",275.890,4,166
"společenský význam",264.800,3,55
"stát rady",262.090,3,59
"technický rozvoj",255.750,3,69
"odborové hnutí",237.910,3,100
"sociální rozvoj",234.280,3,107
"sjezd strany",231.790,4,263
"etapa výstavby",208.350,3,163
"socialistická cesta vývoje",204.940,2,0
"dráha intenzívního rozvoje",204.940,2,0
"současná etapa výstavby",204.940,2,0
"iniciativa pracujících",204.940,2,0
"socialistická ekonomická integrace",204.940,2,0
"jednota práv",204.940,2,0
"kooperace výroby",204.940,2,0
"organizace národní fronty",204.940,2,0
"hospodářský orgán",204.940,2,0
"československý zlatý poklad",204.940,2,0
"žádoucí produkce",204.940,2,0
"program činnosti vlády",204.940,2,0
"volební program národní fronty",204.940,2,0
"sociální přeměna",204.940,2,0
"metodická přestavba",204.940,2,0
"rozsah zahajování",204.940,2,0
"intenzívní rozvoj",204.940,2,0
"mezinárodní specializace",204.940,2,0
"dělná spolupráce",204.940,2,0
"upevňování jednoty",204.940,2,0
"výraznější uplatnění",204.940,2,0
"vojenské uvolnění",204.940,2,0
"užití národního důchodu",204.940,2,0
"vytváření předpokladů",204.940,2,0
"vyšší zhodnocování",204.940,2,0
"zlepšení podmínek bydlení",204.940,2,0
"rozdílné společenské zřízení",204.940,2,0
"úkol plánu",204.940,2,0
"aktivní účast pracujících",204.940,2,0
"činnost federální vlády",204.940,2,0
"článek řízení",204.940,2,0
"řídící článek",204.940,2,0
"plánovité řízení",204.940,2,0
"odborový orgán",202.110,2,5
"důsledné uplatnění",202.110,2,5
"hmotná zainteresovanost",202.110,2,5
"dělba práce",201.910,3,179
"program činnosti",201.510,2,6
"řídící činnost",201.510,2,6
"důsledná realizace",200.330,2,8
"horečné zbrojení",200.330,2,8
"program národní fronty",199.740,2,9
"odborná zdatnost",199.740,2,9
"koordinační činnost",199.740,2,9
"lidová moc",199.160,2,10
"příprava mládeže",199.160,2,10
"vědeckotechnický rozvoj",198.770,2,11
"politická vyspělost",198.770,2,11
"spokojený život",198.770,4,364
