"corpus","user/nelakrawiecova/1919_tusar"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"národní shromáždění",1537.790,7,453
"zásada demokracie",1371.910,3,39
"ozbrojená ruka",1018.290,2,0
"tendence doby",1018.290,2,0
"nové uspořádání výrobního řádu",1018.290,2,0
"uspořádání výrobního řádu",1018.290,2,0
"nová úprava pracovního poměru",1018.290,2,0
"úprava pracovního poměru",1018.290,2,0
"výrobní řád",1018.290,2,0
"vřelý dík",959.750,2,21
"Branná moc",848.580,2,69
"národní hospodářství",691.550,3,416
"pozemková reforma",682.960,2,169
"nové uspořádání",629.350,2,213
"Československá republika",520.780,3,665
"skončená anketa",509.650,1,0
"budování sociálního pojištění",509.650,1,0
"cena trvalé",509.650,1,0
"nerušený chod",509.650,1,0
"nerušený chod výroby",509.650,1,0
"pravidelný chod",509.650,1,0
"cíl dělnické komory",509.650,1,0
"velkodušný dar",509.650,1,0
"zákonný doplněk",509.650,1,0
"dovoz nezbytných předmětů",509.650,1,0
"duch nové demokracie",509.650,1,0
"duch pokroku",509.650,1,0
"chystaná dávka",509.650,1,0
"dílo sociální obnovy",509.650,1,0
"veliké dílo",509.650,1,0
"veliké dílo sociální obnovy",509.650,1,0
"smutné válečné dědictví",509.650,1,0
"válečné dědictví",509.650,1,0
"zlikvidováno smutné válečné dědictví",509.650,1,0
"postižen důchod",509.650,1,0
"finance veřejnoprávních korporací",509.650,1,0
"falešné heslo",509.650,1,0
"hospodářství obilnin",509.650,1,0
"státní hospodářství obilnin",509.650,1,0
"ideál národu",509.650,1,0
"ideál pracujícího lidu",509.650,1,0
"veliký ideál národu",509.650,1,0
"jařmo cizovlády",509.650,1,0
"tisícileté jařmo",509.650,1,0
"tisícileté jařmo cizovlády",509.650,1,0
"poměrný klid",509.650,1,0
"Dělnická komora",509.650,1,0
"zájmová komora",509.650,1,0
"kontrola oběhu",509.650,1,0
"těžká krise",509.650,1,0
"jemný mechanism",509.650,1,0
"myšlenka násilí",509.650,1,0
"místo kabinetu",509.650,1,0
"celý československý národ",509.650,1,0
"následek podvýživy",509.650,1,0
"obor osvěty",509.650,1,0
"obor veřejného života",509.650,1,0
"občanstvo příšerné zhouby",509.650,1,0
"organisace výroby",509.650,1,0
"výrobní organisace",509.650,1,0
"zájmová organisace",509.650,1,0
"organizace veřejných léčebných ústavů",509.650,1,0
"patřičná osnova",509.650,1,0
"zákonná osnova",509.650,1,0
"životní otázka doby",509.650,1,0
"ovládnutí těžby",509.650,1,0
"společenské ovládnutí",509.650,1,0
"společenské ovládnutí těžby",509.650,1,0
"podklad mírumilovnosti",509.650,1,0
"zákonitá podmínka",509.650,1,0
"pohroma hladu",509.650,1,0
"životní pojišťování",509.650,1,0
"účinná hospodářská politika",509.650,1,0
"poměr podniků",509.650,1,0
"právní poměr podniků",509.650,1,0
"zvláštní poměr",509.650,1,0
"pouhá pomůcka",509.650,1,0
"postavení pracujícího",509.650,1,0
"postavení pracujícího člověka",509.650,1,0
"posílení zemědělství",509.650,1,0
"potřeba denního života",509.650,1,0
"potřeba revolučního převratu",509.650,1,0
"povznesení zemědělství",509.650,1,0
"plodné požehnání",509.650,1,0
"prosperita jednotlivého podniku",509.650,1,0
"provedení správní reformy",509.650,1,0
"praktické provádění reformy",509.650,1,0
"provádění reformy",509.650,1,0
"nouzová práce",509.650,1,0
"průmysl československé republiky",509.650,1,0
"obzvláštní péče",509.650,1,0
"obzvláštní péče uzavření",509.650,1,0
"péče uzavření",509.650,1,0
"péče znovuvybudování",509.650,1,0
"zvláštní péče znovuvybudování",509.650,1,0
"zbytný předmět",509.650,1,0
"předpoklad znovuvybudování",509.650,1,0
"sociální přestavba",509.650,1,0
"jiná zákonná reforma",509.650,1,0
"nová daňová reforma",509.650,1,0
