"corpus","user/nelakrawiecova/1929_udrzal_i"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"vládní majorita",2607.430,3,0
"slavná sněmovna",1738.620,2,0
"zprůmyslnění zemědělství",1738.620,2,0
"Antonín švehly",1635.580,2,22
"bezvadná administrativa",869.810,1,0
"státohospodářský aktivita",869.810,1,0
"všestranná bezpečnost",869.810,1,0
"přírodní běs",869.810,1,0
"centrum kulturního světa",869.810,1,0
"cesta průmyslového zušlechtění",869.810,1,0
"cesta zdravé evoluce",869.810,1,0
"cíl upevnění",869.810,1,0
"všeobecná demoralisace",869.810,1,0
"presenční služební doba",869.810,1,0
"služební doba",869.810,1,0
"dobro obecné",869.810,1,0
"obecné dobré",869.810,1,0
"dostatečná hmotných obětí",869.810,1,0
"vykonáno dílo",869.810,1,0
"zdravá evoluce",869.810,1,0
"Národohospodářská hodnota",869.810,1,0
"racionelní hospodaření",869.810,1,0
"rozumná hospodárnost",869.810,1,0
"intensita práce",869.810,1,0
"rentabilní investice",869.810,1,0
"kontrola oposice",869.810,1,0
"sebeostřejší kritika",869.810,1,0
"meta státní správy",869.810,1,0
"nejvyšší meta státní správy",869.810,1,0
"mez finanční nosnosti",869.810,1,0
"všeobecný mír",869.810,1,0
"pevná naděje",869.810,1,0
"finanční nosnost",869.810,1,0
"obor státní správy",869.810,1,0
"kapitálový obrat",869.810,1,0
"rychlejší kapitálový obrat",869.810,1,0
"hmotná oběť",869.810,1,0
"možný opatření",869.810,1,0
"sportovní organisace",869.810,1,0
"aktuelní otázka",869.810,1,0
"aktuelní otázka zásadního rázu",869.810,1,0
"otázka zásadního rázu",869.810,1,0
"pan presidenta republiky",869.810,1,0
"cílevědomá podpora",869.810,1,0
"cílevědomá podpora průmyslu",869.810,1,0
"podporování exportu",869.810,1,0
"prosté polaření",869.810,1,0
"existenční poměr",869.810,1,0
"korektní poměr",869.810,1,0
"profanace opravdové demokracie",869.810,1,0
"přípravné projednávání",869.810,1,0
"prospěch obyvatelstva",869.810,1,0
"zásadní protivník",869.810,1,0
"blahodárná práce",869.810,1,0
"práce ministerského předsedy",869.810,1,0
"příkladná veliká práce",869.810,1,0
"státnická práce",869.810,1,0
"státnická práce ministerského předsedy",869.810,1,0
"tvůrčí státnická práce",869.810,1,0
"veliká práce",869.810,1,0
"exportní průbojnost",869.810,1,0
"veliký exportní průbojnost",869.810,1,0
"hospodářský průmysl",869.810,1,0
"vyslovené toužebné přání",869.810,1,0
"kategorický příkaz",869.810,1,0
"dostatečná příležitost",869.810,1,0
"dána dostatečná příležitost",869.810,1,0
"krutá příroda",869.810,1,0
"nejkrajnější přísnost",869.810,1,0
"úplná rekonvalescence",869.810,1,0
"rozhodnutí pana presidenta",869.810,1,0
"rozmar kruté přírody",869.810,1,0
"zlý rozmar",869.810,1,0
"zlý rozmar kruté přírody",869.810,1,0
"aktivní rozpočet",869.810,1,0
"osvědčená ruka",869.810,1,0
"rámec aktivního rozpočtu",869.810,1,0
"nejpřísnější sebekritika",869.810,1,0
"situace jednotlivých stran",869.810,1,0
"vnitřní situace jednotlivých stran",869.810,1,0
"složka občanstva",869.810,1,0
"složka zákonodárných sborů",869.810,1,0
"měsíční presenční služba",869.810,1,0
"presenční služba",869.810,1,0
"pevná směrnice",869.810,1,0
"menší soběstačnost",869.810,1,0
"spolupráce slavné sněmovny",869.810,1,0
"armádní správa",869.810,1,0
"strana vládní majority",869.810,1,0
"Nejvyšší tribunál",869.810,1,0
"Nejvyšší tribunál národa",869.810,1,0
"tribunál národa",869.810,1,0
"dřívější tržiště",869.810,1,0
"tvoření vládní majority",869.810,1,0
"celá tíha administrace",869.810,1,0
"tíha administrace",869.810,1,0
"upevnění všeobecného míru",869.810,1,0
"možný urychlení",869.810,1,0
"vláda československého státu",869.810,1,0
"nejmodernější vymoženost",869.810,1,0
