"corpus","user/nelakrawiecova/1920_cerny"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"obor ministerstva",853.230,4,6
"branný zákon",688.520,5,198
"stálý výbor",674.230,4,99
"zvláštní péče",651.940,4,114
"obor správy",651.050,3,0
"válečný poškozenec",651.050,3,0
"starost vlády",651.050,3,0
"stálý výbor národního shromáždění",651.050,3,0
"výbor národního shromáždění",651.050,3,0
"osnova zákona",640.170,3,6
"nejnaléhavější úkol",632.710,3,10
"hospodářský život",580.260,3,42
"stavební ruch",537.300,4,212
"národní shromáždění",468.230,5,453
"včasný dovoz",434.370,2,0
"domácí obilí",434.370,2,0
"obor sociální péče",434.370,2,0
"otázka státního zaměstnanectva",434.370,2,0
"pleno zákonodárných sborů",434.370,2,0
"stavební podnikání",434.370,2,0
"postavení státních zaměstnanců",434.370,2,0
"bytová péče",434.370,2,0
"schůze stálého výboru",434.370,2,0
"domácí sklizeň",434.370,2,0
"slavná sněmovna",434.370,2,0
"Nemenší starost",434.370,2,0
"Nemenší starost vlády",434.370,2,0
"vagon obilí",434.370,2,0
"definitivní vláda",434.370,2,0
"další vybudování",434.370,2,0
"státní zaměstnanectvo",434.370,2,0
"zlepšování provozu",434.370,2,0
"řad návrhů",428.370,2,5
"hlavní záruka",424.600,2,8
"ministerstvo veřejných prací",416.460,2,15
"úprava poměrů",416.460,2,15
"staré rakousko",405.190,2,25
"národní obrana",388.920,3,232
"sociální vývoj",388.180,2,41
"stavební hmota",385.420,2,44
"účinná podpora",385.420,2,44
"přispění státu",385.420,2,44
"zprostředkování práce",385.420,2,44
"zájem celku",383.380,2,46
"povinnost vlády",382.370,2,47
"rozvoj školství",379.360,2,50
"ministerstvo národní obrany",371.890,2,58
"Branná moc",361.970,2,69
"nedostatek bytů",361.070,2,70
"upřímná snaha",357.500,2,74
"státní finance",348.530,3,299
"zvláštní opatření",340.420,2,95
"státní příjem",339.880,2,96
"úřednický kabinet",330.070,2,109
"zvláštní pozornost",324.710,3,346
"cena výrobků",313.400,2,133
"veřejná práce",292.500,2,167
"zájem státu",280.750,3,454
"státní zaměstnanec",275.620,8,1822
"zemědělská výroba",259.480,2,232
"velký úkol",250.070,2,254
"zákonodárný sbor",236.830,3,602
"dobrá administrace",217.680,1,0
"finanční administrace",217.680,1,0
"armádní administrativa",217.680,1,0
"stranická agitace",217.680,1,0
"akce studentstva",217.680,1,0
"ošacovací akce",217.680,1,0
"svépomocná akce",217.680,1,0
"svépomocná akce studentstva",217.680,1,0
"fungující správní aparát",217.680,1,0
"asanace celé říše",217.680,1,0
"autorita zákona",217.680,1,0
"pokleslá státní autorita",217.680,1,0
"nutná budova",217.680,1,0
"potřebná budova",217.680,1,0
"provisorní byt",217.680,1,0
"cena případných obětí",217.680,1,0
"cesta nejpilnější polní práce",217.680,1,0
"lidová choroba",217.680,1,0
"zvaná lidová choroba",217.680,1,0
"cíl zvláštních opatření",217.680,1,0
"cítění lidu",217.680,1,0
"postupující demobilisace",217.680,1,0
"demokracie odpovídající pragmatiky",217.680,1,0
"celková služební doba",217.680,1,0
"přechodná krátká doba",217.680,1,0
"služební doba",217.680,1,0
"dobývání cukrovky",217.680,1,0
"draha státu",217.680,1,0
"dělnické družstevnictví",217.680,1,0
"držitel velkého majetku",217.680,1,0
"sociální dílo",217.680,1,0
"veliké sociální dílo",217.680,1,0
"žádoucí důvěra",217.680,1,0
"všestranná ekonomičnost",217.680,1,0
"exposé pana",217.680,1,0
"exposé pana ministra",217.680,1,0
"finance samosprávných svazků",217.680,1,0
"finance veřejných svazků",217.680,1,0
