"corpus","user/nelakrawiecova/1938_beran"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"slavná sněmovna",1116.450,6,0
"Podkarpatská rus",684.890,8,404
"jméno vlády",665.440,4,41
"státní území",646.940,4,52
"obnova státu",558.720,3,0
"ústřední úřad",519.740,3,26
"stavba dráhy",511.650,3,32
"individuální podnikání",372.820,2,0
"národní pomoc",372.820,2,0
"průzkum půdy",372.820,2,0
"přebudování státu",372.820,2,0
"rolnická půda",372.820,2,0
"reforma studia",372.820,2,0
"nejširší vrstva obyvatelstva",372.820,2,0
"slovenská krajina",361.610,2,11
"nový duch",351.380,2,21
"soukromé podnikání",345.320,3,213
"nejširší vrstva",342.980,2,30
"národní existence",338.620,2,35
"národní charakter",335.870,2,38
"hospodářský život",332.280,2,42
"potřeba státu",319.190,2,58
"soukromá iniciativa",307.600,2,73
"nový základ",303.350,2,79
"moderní stát",281.370,2,112
"národní tradice",280.740,2,113
"telefonní síť",278.850,2,116
"vrstva obyvatelstva",273.530,2,125
"potřebné opatření",263.470,2,143
"služba státu",247.720,2,174
"sociální politika",241.660,6,1246
"praktický život",230.850,2,212
"vysokoškolský profesor",219.690,2,240
"pracovní výkon",202.070,2,291
"absolvent jednotlivých studijních oborů",186.910,1,0
"dobrovolná pomocná akce",186.910,1,0
"široká akce",186.910,1,0
"automatisování telefonní sítě",186.910,1,0
"další automatisování",186.910,1,0
"další automatisování telefonní sítě",186.910,1,0
"autonomie slovenska",186.910,1,0
"zemědělská autonomie",186.910,1,0
"autorita činy",186.910,1,0
"vědecké badání",186.910,1,0
"nejúpornější boj",186.910,1,0
"Brno-Německý brod",186.910,1,0
"budování autostrád",186.910,1,0
"ustrojený celek",186.910,1,0
"nejosudovější chvíle",186.910,1,0
"delegát slovenské krajiny",186.910,1,0
"vládní delegát",186.910,1,0
"vládní delegát slovenské krajiny",186.910,1,0
"desetitisíce dělníků",186.910,1,0
"dohledná doba umístění",186.910,1,0
"stranická doktrina",186.910,1,0
"doplnění obchodních smluv",186.910,1,0
"doplnění sítě",186.910,1,0
"výkonná doprava",186.910,1,0
"úřednický dorost",186.910,1,0
"dosah proměn",186.910,1,0
"organisované zemědělské družstevnictví",186.910,1,0
"zemědělské družstevnictví",186.910,1,0
"držba veřejných korporací",186.910,1,0
"duch předneseného výkladu",186.910,1,0
"duch služby",186.910,1,0
"duch vnitřního života",186.910,1,0
"nový duch vnitřního života",186.910,1,0
"praktický duch",186.910,1,0
"praktický duch služby",186.910,1,0
"četná dítě",186.910,1,0
"důsledek autonomie",186.910,1,0
"důsledek autonomie slovenska",186.910,1,0
"důsledek posledních událostí",186.910,1,0
"důsledek těžkých našich",186.910,1,0
"ostatní důsledek",186.910,1,0
"ostatní důsledek změn",186.910,1,0
"psychologický důsledek těžkých našich",186.910,1,0
"důvěra občanstva",186.910,1,0
"soustavná elektrifikace",186.910,1,0
"národní energie",186.910,1,0
"forma hotových tovarů",186.910,1,0
"forma zemědělských komor",186.910,1,0
"zušlechtěná forma",186.910,1,0
"Národohospodářská funkce",186.910,1,0
"hodnota světové politiky",186.910,1,0
"otřesena četná hodnota",186.910,1,0
"četná hodnota",186.910,1,0
"četná hodnota světové politiky",186.910,1,0
"dřevařské hospodářství",186.910,1,0
"finanční hospodářství",186.910,1,0
"spořádané finanční hospodářství",186.910,1,0
"ideál slováků",186.910,1,0
"národní ideál",186.910,1,0
"národní ideál slováků",186.910,1,0
"instituce vládních delegátů",186.910,1,0
"mimořádná stavební investice",186.910,1,0
"jakost československých výrobků",186.910,1,0
"jednota čechů",186.910,1,0
"státní jednota",186.910,1,0
"státní jednota čechů",186.910,1,0
