"corpus","user/nelakrawiecova/1976_strougal"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"socialistická republika",1009.190,14,254
"sjezd komunistické strany",1002.910,9,43
"socialistická společnost",849.260,8,62
"národní hospodářství",793.920,14,416
"rozvinutá socialistická společnost",751.840,6,0
"Československá socialistická republika",702.150,7,86
"komunistická strana československa",535.070,7,220
"strana československa",504.880,7,254
"socialistické společenství",490.290,4,8
"výrobní síla",475.420,4,19
"Helsinská konference",471.840,4,22
"federální vláda",381.910,8,559
"technická úroveň",379.820,5,224
"rozvoj výrobních sil",376.420,3,0
"plodný styk",376.420,3,0
"výstavba rozvinuté socialistické společnosti",376.420,3,0
"rozdílné společenské zřízení",376.420,3,0
"program národní fronty",366.880,3,9
"vývojová základna",366.880,3,9
"socialistický stát",366.640,4,127
"svaz sovětských socialistických republik",351.140,3,25
"spotřební průmysl",346.290,3,30
"socialistická zem",343.770,4,158
"úzká součinnost",336.390,3,41
"společenské zřízení",336.390,3,41
"rada vzájemné hospodářské pomoci",329.620,3,49
"vzájemná hospodářská pomoc",327.040,3,52
"stát varšavské smlouvy",320.630,3,60
"národní výbor",319.350,8,736
"sovětská socialistická republika",319.000,3,62
"občanská veřejnost",307.790,3,77
"sociální rozvoj",287.350,3,107
"Mírové soužití",280.490,3,118
"hospodářská pomoc",254.510,3,165
"příští období",254.000,3,166
"budování rozvinuté socialistické společnosti",251.280,2,0
"efektivnost národního hospodářství",251.280,2,0
"efektivnost společenské výroby",251.280,2,0
"celková hospodárnost",251.280,2,0
"socialistická ekonomická integrace",251.280,2,0
"naplňování závěrů",251.280,2,0
"organizace národní fronty",251.280,2,0
"vědeckotechnická politika",251.280,2,0
"volební program národní fronty",251.280,2,0
"slovenská socialistická republika",251.280,2,0
"rozvoj národního hospodářství",251.280,2,0
"vážené federální shromáždění",251.280,2,0
"těsná ekonomická spolupráce",251.280,2,0
"společenská spotřeba",251.280,2,0
"vyspělý kapitalistický stát",251.280,2,0
"upevnění bezpečnosti",251.280,2,0
"vláda československé socialistické republiky",251.280,2,0
"uvědomělý vztah",251.280,2,0
"politický poradní výbor",251.280,2,0
"společenská výroba",251.280,2,0
"ostatní zem socialistického společenství",251.280,2,0
"zem socialistického společenství",251.280,2,0
"zvyšování technické úrovně",251.280,2,0
"zvýšení celkové úrovně",251.280,2,0
"socialistická zákonnost",251.280,2,0
"zápas národů",251.280,2,0
"zásada vzájemné výhodnosti",251.280,2,0
"závěr helsinské konference",251.280,2,0
"reprodukční proces",247.810,2,5
"řídící práce",247.080,2,6
"ostatní socialistická zem",246.350,2,7
"široké měřítko",243.020,2,12
"náročný cíl",240.230,2,16
"bratrská zem",239.540,2,17
"odvětví národního hospodářství",238.180,2,19
"poznatek vědy",236.390,2,22
"pracovní příjem",236.390,2,22
"úplné střední vzdělání",236.390,2,22
"národní republika",233.750,2,26
"potřeba obyvatelstva",233.100,2,27
"technická základna",231.810,2,29
"střední vzdělání",231.360,3,216
"vysoká technická úroveň",231.170,2,30
"zemědělská surovina",230.530,2,31
"uspokojování potřeb",228.850,2,34
"federativní uspořádání",228.850,2,34
"vzájemná výhodnost",228.850,2,34
"plánovaný růst",226.990,2,37
"kapitalistický stát",226.990,2,37
"závěrečný akt",223.960,2,42
"uplynulé období",221.820,3,240
"nová potřeba",221.780,2,46
"příjem obyvatelstva",220.620,2,48
"zvyšování životní úrovně",215.140,2,58
"kulturní úroveň",211.520,2,65
"další vzestup",209.400,2,69
"základní druh",208.360,2,71
"pětiletý plán",203.470,2,81
"budování socialismu",202.970,2,82
"dlouhodobější hledisko",200.700,2,87
"ostatní odvětví",200.700,2,87
"poradní výbor",198.330,2,92
"severoatlantický pakt",197.860,2,93
"ekonomická integrace",196.620,2,96
"vytváření podmínek",196.620,2,96
