"corpus","user/nelakrawiecova/1948_gottwald"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"Ústavodárné národní shromáždění",2331.300,11,18
"obrozená národní fronta",1561.060,7,0
"národní shromáždění",1251.410,13,453
"Československá ústava",1081.790,5,11
"rekonstrukce vlády",994.050,5,42
"vláda obrozené národní fronty",892.460,4,0
"mocný pan",874.970,4,7
"rekonstruovaná vláda",863.120,4,12
"dřívější národní fronta",669.600,3,0
"odborová organisace",669.600,3,0
"slovenský pan",669.600,3,0
"předmnichovská republika",669.600,3,0
"sjezd závodních rad",669.600,3,0
"slovenská velkoburžoasie",669.600,3,0
"program vlády",607.120,4,162
"závodní rada",573.290,3,58
"pracující lid",481.030,3,135
"národní fronta",474.000,16,2246
"sbor národní bezpečnosti",467.600,3,149
"agent reakce",446.730,2,0
"cíl reakce",446.730,2,0
"rolnická komise",446.730,2,0
"vládní krise",446.730,2,0
"období ústavodárného národního shromáždění",446.730,2,0
"státní organisace",446.730,2,0
"zájmová organisace",446.730,2,0
"orgán svazku",446.730,2,0
"orgán svazku dělníků",446.730,2,0
"výkonný orgán svazku",446.730,2,0
"slavný sbor",446.730,2,0
"slavné Ústavodárné národní shromáždění",446.730,2,0
"sjezd rolnických komisí",446.730,2,0
"obrozená politická strana",446.730,2,0
"strana dřívější národní fronty",446.730,2,0
"svazek dělníků",446.730,2,0
"domácí velkoobchod",446.730,2,0
"zaručeno soukromé vlastnictví",446.730,2,0
"Československá ústavnost",446.730,2,0
"část vládního programu",446.730,2,0
"akční výbor národní fronty",436.690,2,8
"státní věc",436.690,2,8
"výbor národní fronty",428.310,2,15
"revoluční odborové hnutí",427.090,2,16
"vlastnictví půdy",401.380,2,39
"vládní program",397.360,4,429
"konečný cíl",395.280,3,239
"daňové břemeno",391.180,2,49
"president republiky",386.450,2,54
"zdrcující většina",382.480,2,58
"akční výbor",365.280,2,77
"hospodářský plán",358.530,2,85
"odborové hnutí",346.300,2,100
"vedoucí místo",344.700,2,102
"nová ústava",323.630,3,368
"výkonný orgán",315.040,2,144
"pozemková reforma",299.620,2,169
"demokratický režim",296.830,2,174
"prohlášení vlády",233.230,3,644
"proniknuvší agent",223.870,1,0
"proniknuvší agent reakce",223.870,1,0
"akce politické pomsty",223.870,1,0
"celá národní bezpečnost",223.870,1,0
"únorová bouře",223.870,1,0
"slovenská buržoasie",223.870,1,0
"bída národa",223.870,1,0
"bezprostřední cíl reakce",223.870,1,0
"dalekosáhlý mocenský cíl",223.870,1,0
"konečný cíl reakce",223.870,1,0
"protinárodní cíl",223.870,1,0
"mravní cítění",223.870,1,0
"jednotná Živnostenská daň",223.870,1,0
"zemědělská daň",223.870,1,0
"demise zmíněných členů",223.870,1,0
"demise členů",223.870,1,0
"demise členů vlády",223.870,1,0
"oznámena demise",223.870,1,0
"oznámena demise členů",223.870,1,0
"formální parlamentární demokracie",223.870,1,0
"parlamentární demokracie",223.870,1,0
"den mnichova",223.870,1,0
"den slavného osvobození",223.870,1,0
"pohnutý únorový den",223.870,1,0
"doba cizácké okupace",223.870,1,0
"doba historických zkoušek",223.870,1,0
"zvýšený dovoz potravin",223.870,1,0
"druh roku",223.870,1,0
"duch národní fronty",223.870,1,0
"dílo nové ústavy",223.870,1,0
"velké dílo nové ústavy",223.870,1,0
"důchod staropensistů",223.870,1,0
"sociální důchod",223.870,1,0
"zvýšen důchod",223.870,1,0
"zvýšen důchod staropensistů",223.870,1,0
"dům oběšence",223.870,1,0
"dům oběšence nemluv",223.870,1,0
"důsledek neúrody",223.870,1,0
"důvěra ústavodárného národního shromáždění",223.870,1,0
"Heinoldův důvěrník",223.870,1,0
"známý Heinoldův důvěrník",223.870,1,0
"maďarský fašista",223.870,1,0
