"corpus","user/nelakrawiecova/1969_cernik_i"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"socialistická společnost",1048.060,12,62
"socialistická republika",711.980,12,254
"socialistický podnik",680.330,7,21
"Československá federace",613.280,7,61
"Polednová politika",515.880,5,0
"slovenská socialistická republika",515.880,5,0
"nové státoprávní uspořádání",515.880,5,0
"federální shromáždění",505.540,13,568
"socialistická zem",494.740,7,158
"vytváření podmínek",484.240,6,96
"státoprávní uspořádání",477.230,5,28
"federální vláda",471.310,12,559
"socialistický stát",452.380,6,127
"ústavní zákon",380.410,12,775
"maloobchodní cena",335.420,6,291
"Československá socialistická republika",330.590,4,86
"Dělnická třída",319.330,6,323
"rozvíjení ekonomické reformy",309.930,3,0
"záruka občanských práv",309.930,3,0
"internacionální závazek",309.930,3,0
"spravedlivý požadavek",305.650,3,5
"Československá lidová armáda",304.950,4,122
"tvůrčí práce",302.940,4,125
"podmínka rozvoje",298.870,3,13
"významná úloha",296.630,4,135
"federální orgán",290.740,3,23
"další rozvíjení",288.310,3,26
"základní postulát",287.500,3,27
"naléhavý problém",269.270,3,52
"president republiky",268.100,3,54
"komunistická strana československa",251.920,4,220
"pozitivní program",250.950,3,81
"společenský vztah",250.350,3,82
"lidová armáda",241.320,4,245
"strana československa",237.710,4,254
"národní vláda",235.130,5,411
"národní hospodářství",233.640,5,416
"politická linie",232.850,3,114
"metoda práce",232.850,3,114
"efektivnost výroby",206.950,2,0
"vědecká fronta",206.950,2,0
"ochrana socialistického společenského řádu",206.950,2,0
"organizace národní fronty",206.950,2,0
"otázka celostátního významu",206.950,2,0
"vnější podmínka rozvoje",206.950,2,0
"drobné osobní podnikání",206.950,2,0
"osobní podnikání",206.950,2,0
"pohyb maloobchodních cen",206.950,2,0
"postulát polednové politiky",206.950,2,0
"základní postulát polednové politiky",206.950,2,0
"prohlášení předchozí vlády",206.950,2,0
"státní rozpočet federace",206.950,2,0
"další rozvíjení ekonomické reformy",206.950,2,0
"samostatnost podniků",206.950,2,0
"soustava socialistických států",206.950,2,0
"splnění spravedlivých požadavků",206.950,2,0
"protisocialistická síla",206.950,2,0
"upevňování vnitřní bezpečnosti",206.950,2,0
"plné uplatnění",206.950,2,0
"nové státoprávní uspořádání republiky",206.950,2,0
"státoprávní uspořádání republiky",206.950,2,0
"uspořádání československé socialistické republiky",206.950,2,0
"další socialistická zem",206.950,2,0
"socialistická zákonnost",206.950,2,0
"právní záruka zákonnosti",206.950,2,0
"záruka zákonnosti",206.950,2,0
"nová zákonodárná úprava",206.950,2,0
"nová úprava postavení",206.950,2,0
"zákonodárná úprava",206.950,2,0
"účast pracujících",206.950,2,0
"socialistický společenský řád",206.950,2,0
"řízení socialistických podniků",206.950,2,0
"rozpočet federace",204.090,2,5
"uspořádání republiky",204.090,2,5
"věcná problematika",203.490,2,6
"provedení voleb",203.490,2,6
"socialistické společenství",202.300,2,8
"řešení naléhavých problémů",202.300,2,8
"třídní zájem",201.120,2,10
"další upevňování",200.730,2,11
"úprava postavení",200.730,2,11
"Česká socialistická republika",199.570,2,13
"hlavní příspěvek",197.850,2,16
"vnitropolitický poměr",197.280,2,17
"zájmový svaz",196.720,2,18
"soubor informací",195.050,2,21
"ultimativní požadavek",194.140,2,23
"vnější ekonomický vztah",194.140,2,23
"československý lid",193.590,2,24
"září minulého roku",193.220,3,208
"uvolňování napětí",193.050,2,25
"odvodová povinnost",191.980,2,27
"plné respektování",190.390,2,30
"uspořádání státu",188.480,2,34
"kapitalistický stát",186.950,2,37
"právní záruka",186.440,2,38
"významný úkol",186.440,2,38
"vědomí lidí",185.940,2,39
"celostátní význam",184.450,2,42
"státní orgán",179.890,8,1234
