"corpus","user/nelakrawiecova/1996_klaus"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"základní priorita",419.910,3,82
"dosažení plného členství",346.900,2,0
"úkol vládní politiky",346.900,2,0
"přijetí české republiky",342.110,2,5
"postupná deregulace",341.100,2,6
"dostupnost bytů",339.100,2,8
"jistota občanů",331.640,2,16
"rozhodování občanů",330.700,2,17
"zvyšování kvality",325.930,3,205
"zvýšení dostupnosti",305.370,2,47
"posílení postavení",298.540,2,56
"regionální samospráva",295.490,2,60
"hospodářská politika vlády",293.240,2,63
"plné členství",292.740,2,64
"kulturní bohatství",289.810,2,68
"materiální podmínka",284.350,2,76
"důležitý předpoklad",277.080,2,87
"sociální stabilita",270.810,2,97
"politika vlády",267.900,4,546
"ochrana duševního vlastnictví",267.050,2,103
"strana poptávky",259.070,2,117
"zvýšená pozornost",254.240,4,594
"legislativní rámec",250.830,2,132
"strana nabídky",237.440,2,159
"mimořádná pozornost",233.130,2,168
"snižování daní",231.420,2,172
"následující období",225.340,3,450
"tržní ekonomika",223.880,5,987
"bytová výstavba",219.530,3,471
"systém ochrany",209.860,2,225
"zdravotnický pracovník",203.340,2,243
"Minulé období",200.330,3,549
"vlastnická struktura",195.730,3,570
"české zemědělství",192.620,2,276
"významná součást",189.560,2,286
"zákonodárný sbor",189.100,3,602
"regulovaná cena",182.290,2,311
"orgán státní správy",180.570,3,647
"akreditace zdravotnických zařízení",173.950,1,0
"zaváděna akreditace",173.950,1,0
"zaváděna akreditace zdravotnických zařízení",173.950,1,0
"aktivita nestátních subjektů",173.950,1,0
"prospěšná aktivita nestátních subjektů",173.950,1,0
"racionální zemědělská aktivita",173.950,1,0
"svobodná aktivita",173.950,1,0
"svobodná aktivita občanů",173.950,1,0
"aparát veřejné správy",173.950,1,0
"vnější bezpečnost státu",173.950,1,0
"budování moderní tržní ekonomiky",173.950,1,0
"budování příslušné infrastruktury",173.950,1,0
"další budování systému",173.950,1,0
"dvoustranná báze",173.950,1,0
"samosprávný územní celek",173.950,1,0
"výběrový charakter",173.950,1,0
"chování zdravotních pojišťoven",173.950,1,0
"korektní chování policistů",173.950,1,0
"odpovědné chování zdravotních pojišťoven",173.950,1,0
"Evropská demokratická civilizace",173.950,1,0
"cíl budoucí činnosti",173.950,1,0
"cíl dalšího rozšíření",173.950,1,0
"cíl omezování",173.950,1,0
"cíl poklesu",173.950,1,0
"cíl poklesu podílu",173.950,1,0
"cíl politiky vlády",173.950,1,0
"cíl postupného sbližování",173.950,1,0
"cíl vlády vytvoření",173.950,1,0
"další stěžejní cíl",173.950,1,0
"další stěžejní cíl politiky",173.950,1,0
"stěžejní cíl politiky",173.950,1,0
"decentralizace rozhodování",173.950,1,0
"postupná deregulace cen",173.950,1,0
"postupná deregulace nájemného",173.950,1,0
"dvoustranný dialog",173.950,1,0
"zahájený dvoustranný dialog",173.950,1,0
"diferenciace odměňování",173.950,1,0
"doba odepisování",173.950,1,0
"doba odepisování strojů",173.950,1,0
"dodržování ekologických postupů",173.950,1,0
"dokončení systémové transformace",173.950,1,0
"dokončování liberalizace",173.950,1,0
"dokončování liberalizace cen",173.950,1,0
"dokončování transformace",173.950,1,0
"doladění systému",173.950,1,0
"doplňování stávajícího systému",173.950,1,0
"dopracování postupů",173.950,1,0
"dosažení prioritních cílů",173.950,1,0
"nejrychlejší dosažení",173.950,1,0
"nejrychlejší dosažení plného členství",173.950,1,0
"dostupnost hypotéčních úvěrů",173.950,1,0
"dostupnost lůžkové péče",173.950,1,0
"dostupnost standardní zdravotní péče",173.950,1,0
"nízká dostupnost bytů",173.950,1,0
"subvencovaný dovoz",173.950,1,0
"dořešení současných problémů",173.950,1,0
"smluvní dořešení",173.950,1,0
"smluvní dořešení současných problémů",173.950,1,0
"druh sociálních dávek",173.950,1,0
"ohrožený druh fauny",173.950,1,0
"díl mezinárodních závazků",173.950,1,0
"jasnější dělba",173.950,1,0
