"corpus","user/nelakrawiecova/1960_siroky"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"národné hospodárstvo",2768.130,26,0
"národné výborovo",1597.420,15,0
"našej vlasti",1384.570,13,0
"našej spoločnosti",852.430,8,0
"Sovietske sväzu",852.430,8,0
"národný výbor",852.430,8,0
"Národná zhromaždenie",852.430,8,0
"rozvoj národného hospodárstva",746.000,7,0
"celé národné hospodárstvo",639.570,6,0
"strana československa",613.290,10,254
"našej republiky",533.140,5,0
"socialistické výrobný vzťahovo",533.140,5,0
"výrobný vzťahovo",533.140,5,0
"víťazstvo socializmu",533.140,5,0
"technický rozvoj",444.280,5,69
"socialistická krajina",426.710,4,0
"národnom hospodárstve",426.710,4,0
"úplná odzbrojenie",426.710,4,0
"mierový spolunažívanium",426.710,4,0
"celý svet",426.710,4,0
"dôsledný uplatňovanie",426.710,4,0
"náročná úloha",393.650,4,29
"socialistický tábor",340.820,4,87
"produktivita práce",323.940,11,901
"bok sovietskeho",320.280,3,0
"bok sovietskeho sväzu",320.280,3,0
"ekonomickom súťažení",320.280,3,0
"medzinárodný imperializmus",320.280,3,0
"našej ekonomiky",320.280,3,0
"spoločenská organizácie",320.280,3,0
"socialistické poľnohospodárstvo",320.280,3,0
"rozvoj stavebníctva",320.280,3,0
"ďalší rozvoj",320.280,3,0
"technické rozvojum",320.280,3,0
"síl socializmu",320.280,3,0
"uspokojovanium potrieb",320.280,3,0
"víťazstvo mieru",320.280,3,0
"výstavba socializmu",320.280,3,0
"spoločenský význam",320.280,3,0
"zásadný význam",320.280,3,0
"socialistické zriadenium",320.280,3,0
"zásada mierového spolunažívania",320.280,3,0
"pracovný čas",320.280,3,0
"všetký ľudus",320.280,3,0
"socialistické štátovo",320.280,3,0
"Československá vláda",267.530,4,205
"západný berlín",213.860,2,0
"nové bytovo",213.860,2,0
"chemizácie poľnohospodárstva",213.860,2,0
"deľb práce",213.860,2,0
"dovŕšenium výstavby",213.860,2,0
"dovŕšenium výstavby socializmu",213.860,2,0
"národný dôchodek",213.860,2,0
"Národný front",213.860,2,0
"hospodársk organizácie",213.860,2,0
"hospodárske organizácie",213.860,2,0
"hospodárskych orgánov",213.860,2,0
"hľadisko ďalšieho",213.860,2,0
"kontrola verejnosti",213.860,2,0
"socialistická krajína",213.860,2,0
"západná mocnost",213.860,2,0
"našej strany",213.860,2,0
"našej výroby",213.860,2,0
"západný nemecko",213.860,2,0
"národov celého sveta",213.860,2,0
"náš ľudu",213.860,2,0
"vnútorný obchod",213.860,2,0
"všetký oblastiacha",213.860,2,0
"odvetviacha národného hospodárstva",213.860,2,0
"stavebná organizácie",213.860,2,0
"spoločenský organizácium",213.860,2,0
"orgánovo štátu",213.860,2,0
"plán rozvoja",213.860,2,0
"nový pomer",213.860,2,0
"bezplatná poskytovanie",213.860,2,0
"spoločenská poslanie",213.860,2,0
"významná spoločenská poslanie",213.860,2,0
"pracovníkov štátnych",213.860,2,0
"postupný prechod",213.860,2,0
"nevyhnutný predpoklad",213.860,2,0
"základný predpoklad",213.860,2,0
"prejavom nového pomeru",213.860,2,0
"priamej starostlivosti",213.860,2,0
"priamej účasti",213.860,2,0
"chemický priemysl",213.860,2,0
"ťažký priemysl",213.860,2,0
"problém technického rozvoja",213.860,2,0
"dôsledný rešpektovanium",213.860,2,0
"rozvoj celého národného hospodárstva",213.860,2,0
"rozvoj socialistického súťaženia",213.860,2,0
"silo sovietskeho",213.860,2,0
"silo sovietskeho sväzu",213.860,2,0
"splniť úlohy",213.860,2,0
"socialistické spolunažívanium",213.860,2,0
"verejné stravovanium",213.860,2,0
"imperialistická síla",213.860,2,0
"socialistické súťaženium",213.860,2,0
"celý socialistický tábor",213.860,2,0
"tábor socializmu",213.860,2,0
"socialistické uvedomenium",213.860,2,0
