"corpus","user/nelakrawiecova/1986_strougal"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"federální vláda",1057.960,23,559
"hospodářská organizace",824.170,7,9
"komplexní program",605.630,6,68
"tvorba zdrojů",594.180,5,6
"socialistické společenství",590.700,5,8
"ústřední orgán",590.620,8,219
"vědeckotechnický rozvoj",586.110,5,11
"vědeckotechnický pokrok",584.410,5,12
"hospodářská jednotka",581.040,5,14
"Československá socialistická republika",580.410,6,86
"státní plán",577.710,5,16
"hlavní směr",544.660,6,114
"socialistická demokracie",483.620,4,0
"intenzifikace ekonomiky",483.620,4,0
"vláda republik",483.620,4,0
"vláda československé socialistické republiky",483.620,4,0
"soustava řízení",471.370,4,9
"investiční výstavba",454.000,5,114
"mezinárodní dělba práce",452.410,4,24
"mezinárodní dělba",451.140,4,25
"národní hospodářství",437.610,8,416
"národní výbor",423.270,11,736
"socialistická republika",417.350,6,254
"technický rozvoj",403.020,4,69
"pětiletý plán",391.600,4,81
"národní důchod",369.180,4,107
"federální shromáždění",364.620,8,568
"socialistická ekonomická integrace",362.970,3,0
"výrobní hospodářská jednotka",362.970,3,0
"komplexní program vědeckotechnického pokroku",362.970,3,0
"program vědeckotechnického pokroku",362.970,3,0
"tvorba národního důchodu",362.970,3,0
"strukturální změna",354.830,5,242
"společenská potřeba",334.840,3,29
"technická základna",334.840,3,29
"socialistická zem",331.480,4,158
"náročnější podmínka",327.000,3,38
"společenské zřízení",324.370,3,41
"sjezd komunistické strany",322.930,3,43
"stanovený úkol",319.510,3,47
"dělba práce",318.170,4,179
"stát rady",309.960,3,59
"socialistická společnost",307.600,3,62
"komunistická strana československa",295.070,4,220
"hospodářský plán",291.310,3,85
"růst produktivity práce",287.160,3,91
"ekonomická integrace",284.010,3,96
"ekonomický nástroj",279.420,3,103
"strana československa",278.430,4,254
"efektivnost výroby",242.310,2,0
"hospodaření organizací",242.310,2,0
"hospodářský mechanismus",242.310,2,0
"integrační mechanismus",242.310,2,0
"technicko-hospodářská norma",242.310,2,0
"návrh sovětského svazu",242.310,2,0
"hospodářský orgán",242.310,2,0
"technickoekonomický parametr",242.310,2,0
"plán technického rozvoje",242.310,2,0
"pokrok členských států",242.310,2,0
"vědeckotechnický pokrok členských států",242.310,2,0
"program elektronizace",242.310,2,0
"vědeckotechnický program",242.310,2,0
"racionalizace cen",242.310,2,0
"další rozvoj vzdělanosti",242.310,2,0
"rozvoj socialistické demokracie",242.310,2,0
"mzdová soustava",242.310,2,0
"společenská spotřeba",242.310,2,0
"socialistická státnost",242.310,2,0
"upevňování socialistické státnosti",242.310,2,0
"racionální využívání",242.310,2,0
"vývoj efektivnosti",242.310,2,0
"zem socialistického společenství",242.310,2,0
"zkvalitnění užitných vlastností",242.310,2,0
"socialistický způsob života",242.310,2,0
"zvyšování úlohy",242.310,2,0
"socialistická zákonnost",242.310,2,0
"závazný úkol",242.310,2,0
"výrobní činitel",242.310,2,0
"dynamika tvorby",238.970,2,5
"vysoká efektivnost",238.970,2,5
"nižší stupeň řízení",238.970,2,5
"socialistický způsob",238.970,2,5
"program činnosti",238.260,2,6
"důsledná realizace",236.860,2,8
"další zdokonalování",236.860,2,8
"zvyšování efektivnosti",235.480,2,10
"vážený soudruh",233.670,2,13
"rozvoj vzdělanosti",232.320,2,15
"zpracovatelský obor",231.660,2,16
"vojenská rovnováha",230.340,2,18
"vědeckotechnická spolupráce",230.340,2,18
"poznatek vědy",227.950,2,22
"vnější ekonomický vztah",227.310,2,23
"legislativní oblast",226.040,2,25
"mírová politika",226.040,2,25
"kvalitativní ukazatel",224.780,2,27
"postupné odstraňování",224.160,2,28
"předseda federálního shromáždění",224.160,2,28
"finanční soustava",223.530,2,29
"ekonomické pravidlo",222.310,2,31
