"corpus","user/nelakrawiecova/2007_topolanek"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"ekologická daňová reforma",412.790,4,11
"vyvážený rozvoj",402.250,4,20
"daňová reforma",368.230,5,153
"etapa důchodové reformy",319.440,3,0
"společná zemědělská politika",319.360,5,229
"oblast sociálního bydlení",294.680,3,29
"mezigenerační solidarita",292.520,3,32
"procesní předpis",286.230,3,40
"procesní pravidlo",279.720,3,49
"české předsednictví",262.190,5,354
"zemědělská politika",257.000,5,368
"závazek české republiky",256.780,3,84
"důchodová reforma",240.240,7,722
"dopad společné zemědělské politiky",213.290,2,0
"fáze reformy",213.290,2,0
"indikátor výše",213.290,2,0
"nepřekročitelný indikátor",213.290,2,0
"nepřekročitelný indikátor výše",213.290,2,0
"koordinace evropské politiky",213.290,2,0
"plavební parametr",213.290,2,0
"park veřejné dopravy",213.290,2,0
"vozidlový park veřejné dopravy",213.290,2,0
"princip skutečné solidarity",213.290,2,0
"haagský program",213.290,2,0
"rozsah zdravotního pojištění",213.290,2,0
"standard energetické účinnosti",213.290,2,0
"systém nemocenské",213.290,2,0
"transformace zdravotních pojišťoven",213.290,2,0
"transformace českého zdravotnictví",213.290,2,0
"výstavba profesionální armády",213.290,2,0
"zahájení legislativního procesu",213.290,2,0
"zjednodušení procesních předpisů",213.290,2,0
"cíl vlády",212.250,3,174
"dlouhodobá finanční stabilita",210.350,2,5
"standardní rozsah",209.730,2,6
"priorita předsednictví",209.110,2,7
"registr veřejné správy",207.890,2,9
"elektronický spis",207.280,2,10
"spoluúčast občanů",206.880,2,11
"rámec členství",205.680,2,13
"obnova vozidlového parku",205.090,2,14
"rámec českého předsednictví",203.330,2,17
"byrokratická zátěž",202.430,3,199
"reforma společné zemědělské politiky",202.170,2,19
"příprava předsednictví",201.030,2,21
"uvedený princip",199.520,2,24
"svobodná výměna",198.410,2,26
"slabá skupina",197.860,2,27
"národní spolufinancování",197.310,2,28
"čerpání strukturálních fondů",196.220,2,30
"skutečná solidarita",195.680,2,31
"vyšší soudní úředník",192.680,2,37
"důchodové připojištění",192.150,2,38
"operační schopnost",191.640,2,39
"využití evropských fondů",190.610,2,41
"profesionální armáda",188.570,3,239
"dílčí nedostatek",188.250,2,46
"rozvoj systému",188.250,2,46
"mandatorní výdaj",186.040,3,247
"vozidlový park",185.790,2,51
"sociální výdaj",185.400,3,249
"strukturální fond",184.880,5,646
"výše výdajů",182.140,2,59
"daňová soustava",181.680,2,60
"finanční perspektiva",179.990,2,64
"odečitatelná položka",176.860,2,71
"rozhodovací činnost",175.260,2,75
"komunikační infrastruktura",174.830,2,76
"legislativa evropské unie",173.970,2,78
"daňová kvóta",173.130,2,80
"základní priorita",172.290,2,82
"schodek veřejných financí",172.290,2,82
"samosprávný celek",171.560,3,297
"vícezdrojové financování",169.550,2,89
"rozhodování soudů",167.160,2,95
"soudní úředník",166.890,2,96
"možnost vstupu",163.440,2,105
"požadavek evropské unie",163.440,2,105
"orgán veřejné správy",157.880,2,121
"dostupnost zdravotní péče",156.490,2,125
"program podpory",153.800,3,371
"fond soudržnosti",148.020,2,152
"centrální úroveň",145.100,2,162
"veřejné zdravotní pojištění",144.690,5,921
"výstavba dopravní infrastruktury",144.510,2,164
"rozvoj venkova",142.050,4,687
"vytvoření podmínek",141.720,2,174
"náboženská společnost",139.190,3,446
"vývoz zbraní",135.160,2,199
"veřejná správa",134.820,15,3723
"orgán veřejné moci",132.970,2,208
"správa věcí",131.820,2,213
"soukromý zdroj",131.090,2,216
"rovné zacházení",130.850,2,217
"právní forma",128.330,2,228
"systém podpory",126.580,2,236
"daňový výnos",122.790,2,254
"zvýšení podílu",122.790,2,254
"důchodový systém",122.490,5,1150
"zvýšení efektivity",121.740,2,259
