"corpus","user/nelakrawiecova/1968_cernik"
"subcorpus","-"
"Item","Score","Freq","Ref_freq"
"soustava řízení",743.860,12,9
"národní shromáždění",603.780,22,453
"socialistická společnost",592.950,11,62
"akční program",577.800,10,35
"národní důchod",388.650,8,107
"nová soustava",370.610,6,11
"národní hospodářství",345.650,12,416
"ekonomická soustava",318.580,5,0
"ekonomická soustava řízení",318.580,5,0
"nová soustava řízení",318.580,5,0
"socialistická zem",305.420,7,158
"národní výbor",303.930,15,736
"státoprávní uspořádání",294.710,5,28
"dělba práce",293.170,7,179
"investiční výstavba",287.070,6,114
"materiální zabezpečení",260.490,5,77
"rozvoj vědy",259.220,5,79
"naši národů",251.540,4,5
"mezinárodní dělba práce",238.600,4,24
"mezinárodní dělba",237.930,4,25
"kapitalistický stát",230.410,4,37
"všestranný rozvoj",220.070,4,55
"centrální řízení",209.590,4,75
"národní orgán",203.730,4,87
"Dělnická třída",197.160,6,323
"nevýrobní oblast",191.550,3,0
"předkládaný program",191.550,3,0
"plné uplatnění",191.550,3,0
"státoprávní vztah",191.550,3,0
"záruka zákonnosti",191.550,3,0
"územní členění státu",187.790,3,7
"strukturální změna",187.070,5,242
"Československá ekonomika",185.790,3,11
"pracovní kázeň",184.430,4,132
"členění státu",184.180,3,14
"vnitřní obchod",182.080,3,18
"územní členění",180.530,3,21
"dosavadní vývoj",175.430,5,281
"kulturní pracovník",174.450,3,34
"podniková sféra",173.510,4,162
"společenské zřízení",171.180,3,41
"mzdová politika",170.720,3,42
"mzdový požadavek",166.420,3,52
"obrodný proces",166.130,3,53
"základní fond",162.740,3,61
"metoda řízení",162.740,3,61
"rozvoj zemědělství",162.330,3,62
"konkurenční schopnost",162.330,3,62
"oprávněný zájem",155.910,4,219
"státní orgán",152.600,11,1234
"růst životní úrovně",149.530,3,97
"centrální orgán",148.140,3,101
"kvalifikovaná práce",148.140,3,101
"ekonomický nástroj",147.460,3,103
"rozvoj ekonomiky",144.890,3,111
"životní zájem",141.780,3,121
"potřeba občanů",141.470,3,122
"socialistický stát",140.020,3,127
"kvalita výrobků",139.410,3,129
"jednotlivé odvětví",136.240,3,140
"bytová výstavba",134.540,5,471
"potřeba trhu",131.560,3,157
"aparát centrálního řízení",128.030,2,0
"socialistický charakter",128.030,2,0
"nízká efektivnost",128.030,2,0
"výrobní základní fond",128.030,2,0
"iniciativa pracujících",128.030,2,0
"konsolidace hospodářství",128.030,2,0
"vietnamský lid",128.030,2,0
"administrativní metoda",128.030,2,0
"účelná míra",128.030,2,0
"učební poměr",128.030,2,0
"hrubé porušení zákonnosti",128.030,2,0
"porušení zákonnosti",128.030,2,0
"postavení podniků",128.030,2,0
"nejnaléhavější problém sociální politiky",128.030,2,0
"problém sociální politiky",128.030,2,0
"mzdová relace",128.030,2,0
"družstevní rolnictvo",128.030,2,0
"rozdělení pravomoci",128.030,2,0
"extenzívní rozvoj",128.030,2,0
"rozvoj socialistické společnosti",128.030,2,0
"neoprávněný růst",128.030,2,0
"neoprávněný růst mezd",128.030,2,0
"Nejvyšší zastupitelský sbor",128.030,2,0
"integrační sdružení",128.030,2,0
"směnitelnost měny",128.030,2,0
"internacionální solidarita",128.030,2,0
"soustava maloobchodních cen",128.030,2,0
"socialistická spravedlnost",128.030,2,0
"vnitřní správa státu",128.030,2,0
"struktura aparátu",128.030,2,0
"nové státoprávní uspořádání",128.030,2,0
"vztah podniků",128.030,2,0
"nepotřebný výrobek",128.030,2,0
"otevřený inflační vývoj",128.030,2,0
"vývoj socialistické společnosti",128.030,2,0
"zdroj pracovních sil",128.030,2,0
"zlepšení materiálního zabezpečení",128.030,2,0
"zrovnoprávnění zemědělství",128.030,2,0
